date,open,high,low,close,volume
2007-11-06,118.85,121.37,118.49,121.18,740300
2007-11-07,119.9,121.15,118.92,118.92,528200
2007-11-08,118.16,118.99,115.040001,117.67,796200
2007-11-09,116.3,116.3,113.63,113.68,908500
2007-11-12,113.25,117.040001,113.25,114.61,526800
2007-11-13,115.2,118.099998,114.71,117.75,506400
2007-11-14,118.059998,118.39,114.55,114.75,671500
2007-11-15,114.52,115.87,113.5,113.97,827200
2007-11-16,114.0,114.92,110.79,111.64,1108600
2007-11-19,110.76,111.79,108.34,108.43,985500
2007-11-20,108.8,109.28,104.69,106.0,1554700
2007-11-21,104.92,106.28,104.53,105.41,780000
2007-11-23,106.42,107.55,105.75,107.24,257200
2007-11-26,107.029999,107.029999,103.43,103.43,635200
2007-11-27,103.4,106.089996,103.4,105.029999,801300
2007-11-28,105.63,109.29,105.24,108.77,759200
2007-11-29,108.2,110.7,107.63,109.38,755600
2007-11-30,111.2,113.16,110.92,111.63,2163000
2007-12-03,111.25,111.51,107.52,107.87,910900
2007-12-04,116.62,128.8,116.62,128.8,4186500
2007-12-05,129.73,130.25999,124.5,126.22,1742700
2007-12-06,125.67,128.42999,125.67,128.19,826500
2007-12-07,129.59,130.97,128.60001,129.87,745800
2007-12-10,129.97,132.44,129.3,132.17,761100
2007-12-11,130.52,132.38,126.92,127.5,1532800
2007-12-12,130.62,130.62,123.55,124.19,1183500
2007-12-13,123.33,124.59,120.38,120.58,1370900
2007-12-14,120.74,122.67,119.75,120.07,996500
2007-12-17,119.75,121.63,119.75,119.89,802900
2007-12-18,120.52,122.25,119.019997,120.3,639300
2007-12-19,120.56,123.12,119.5,123.0,975200
2007-12-20,123.07,124.28,121.15,122.9,568100
2007-12-21,124.25,124.45,121.6,122.39,654900
2007-12-24,122.39,124.14,121.83,124.019997,144700
2007-12-26,123.5,123.53,120.58,121.7,336800
2007-12-27,121.26,121.99,120.12,120.28,362000
2007-12-28,121.45,121.5,118.36,118.85,441600
2007-12-31,117.93,120.36,117.93,119.91,581200
2008-01-02,120.099998,120.099998,115.64,116.21,932900
2008-01-03,116.63,116.93,113.3,113.72,775900
2008-01-04,112.87,112.9,110.24,110.58,978700
2008-01-07,111.45,113.6,109.87,112.65,950800
2008-01-08,113.6,113.93,108.15,108.38,932500
2008-01-09,108.34,108.9,104.89,107.94,1292200
2008-01-10,107.099998,110.46,105.26,109.71,1240700
2008-01-11,108.49,108.8,105.95,106.089996,1020100
2008-01-14,106.89,108.11,106.3,107.029999,644600
2008-01-15,106.029999,106.49,103.35,104.07,941700
2008-01-16,103.3,108.39,103.3,107.14,919300
2008-01-17,107.0,107.07,103.6,103.88,914000
2008-01-18,104.39,107.85,104.39,106.059998,1217500
2008-01-22,104.18,111.51,103.07,110.49,1369500
2008-01-23,108.5,114.8,107.65,114.58,1340600
2008-01-24,117.07,117.07,112.099998,114.34,834000
2008-01-25,115.0,116.0,111.019997,112.029999,701200
2008-01-28,111.84,118.75,111.040001,118.68,1182300
2008-01-29,119.19,119.86,115.82,118.43,681500
2008-01-30,117.65,119.58,115.18,116.089996,820000
2008-01-31,115.059998,122.74,114.86,120.65,949500
2008-02-01,120.38,121.85,118.7,121.59,921700
2008-02-04,121.2,121.4,116.83,117.6,752100
2008-02-05,117.64,118.31,114.58,114.8,736300
2008-02-06,115.44,118.36,114.0,114.0,715500
2008-02-07,112.72,118.0,111.31,116.6,924200
2008-02-08,116.19,118.16,114.41,115.62,659000
2008-02-11,115.81,117.61,113.85,117.59,561900
2008-02-12,117.89,118.79,115.059998,116.25,565800
2008-02-13,116.64,118.3,114.79,116.26,543000
2008-02-14,114.75,115.5,111.77,113.12,846800
2008-02-15,112.28,113.64,111.28,113.62,631300
2008-02-19,114.79,115.47,112.5,113.37,847500
2008-02-20,112.33,118.24,112.029999,117.080002,801500
2008-02-21,117.51,117.71,113.58,113.65,593300
2008-02-22,114.0,115.31,112.5,115.31,612600
2008-02-25,116.050003,118.56,113.25,117.37,1021400
2008-02-26,118.78,126.0,118.25,124.93,1857000
2008-02-27,123.93,125.69,121.4,122.25,953100
2008-02-28,120.79,121.78,119.26,119.73,580100
2008-02-29,118.18,119.4,114.63,115.080002,661300
2008-03-03,115.35,118.4,113.23,117.72,714300
2008-03-04,117.0,117.2,114.78,116.78,707400
2008-03-05,117.5,119.81,116.17,117.26,641300
2008-03-06,116.76,116.95,113.53,113.67,613900
2008-03-07,112.8,115.7,112.0,112.83,721200
2008-03-10,112.71,113.07,109.97,110.23,523800
2008-03-11,113.3,114.96,112.059998,114.84,736800
2008-03-12,115.050003,116.56,111.48,111.57,695900
2008-03-13,110.5,115.81,109.9,115.18,739200
2008-03-14,115.15,115.15,110.26,113.61,1098000
2008-03-17,111.52,113.45,108.89,110.86,867500
2008-03-18,111.41,114.39,111.37,113.88,1555800
2008-03-19,114.75,115.89,112.69,112.69,788800
2008-03-20,113.16,117.080002,112.96,116.64,1198100
2008-03-24,116.55,121.6,116.55,119.75,595000
2008-03-25,119.77,120.81,118.27,119.88,438900
2008-03-26,119.59,119.7,117.56,117.92,473700
2008-03-27,118.21,118.47,115.07,115.16,484800
2008-03-28,115.11,115.3,112.87,113.25,454900
2008-03-31,113.31,115.45,112.56,113.83,569800
2008-04-01,117.23,119.61,115.21,119.55,607700
2008-04-02,119.089996,120.25,117.35,118.21,545400
2008-04-03,116.95,118.85,116.26,117.78,374900
2008-04-04,117.71,119.019997,116.16,116.98,352100
2008-04-07,117.95,118.12,115.63,115.76,514100
2008-04-08,115.099998,116.42,114.67,115.94,517800
2008-04-09,116.17,116.37,113.68,114.44,652000
2008-04-10,113.83,117.3,113.65,116.61,710000
2008-04-11,116.18,118.050003,116.0,116.96,727300
2008-04-14,116.9,118.82,116.9,117.13,800300
2008-04-15,117.39,119.0,116.75,118.3,638000
2008-04-16,119.089996,120.7,118.54,120.46,645700
2008-04-17,119.8,121.77,119.19,121.36,637800
2008-04-18,123.15,125.0,121.97,122.42,613200
2008-04-21,121.7,122.78,120.85,122.25,282700
2008-04-22,122.37,122.37,118.41,119.52,385200
2008-04-23,118.5,125.22,117.86,119.19,656200
2008-04-24,119.2,122.72,119.2,121.48,568800
2008-04-25,122.2,124.31,122.0,123.85,765500
2008-04-28,123.71,124.58,122.35,123.65,514900
2008-04-29,123.74,125.69,123.55,125.36,636300
2008-04-30,125.49,125.6,120.75,120.75,774500
2008-05-01,121.35,126.85,120.91,125.95,566000
2008-05-02,126.6,126.8,123.010002,123.9,453900
2008-05-05,124.0,124.33,121.7,122.85,570700
2008-05-06,121.010002,125.46,121.010002,124.61,867600
2008-05-07,124.28,126.54,123.48,124.19,667400
2008-05-08,125.63,127.54,122.040001,122.76,1016600
2008-05-09,121.59,124.39,121.35,122.44,546800
2008-05-12,122.62,126.019997,122.5,125.77,386000
2008-05-13,126.53,127.23,124.43,126.67,479300
2008-05-14,127.72,128.42999,126.67,126.83,512600
2008-05-15,127.57,128.89999,125.44,128.35001,663600
2008-05-16,127.0,128.0099945,124.47,127.21,838700
2008-05-19,127.019997,129.5,126.56,127.8,784400
2008-05-20,129.0,130.78999,125.67,126.99,1028700
2008-05-21,127.58,129.5,125.019997,125.67,954500
2008-05-22,125.059998,129.75,125.059998,128.44,753000
2008-05-23,128.2,128.64999,126.66,127.28,556200
2008-05-27,126.65,129.5,125.81,127.23,1141800
2008-05-28,128.0,128.37,125.8,127.019997,489500
2008-05-29,127.46,128.92999,127.13,127.77,728500
2008-05-30,127.44,127.7,126.2,126.56,362600
2008-06-02,126.25,127.81,125.87,127.39,633200
2008-06-03,128.19,128.19,125.75,127.39,861300
2008-06-04,127.27,127.46,124.65,125.75,740800
2008-06-05,127.51,127.9,125.14,126.089996,744000
2008-06-06,124.79,125.099998,120.94,121.74,775800
2008-06-09,122.15,123.36,120.46,121.45,559500
2008-06-10,120.15,123.13,119.68,121.29,714600
2008-06-11,120.5,121.3,117.98,118.14,513700
2008-06-12,118.8,120.89,117.52,118.3,496400
2008-06-13,118.89,120.38,118.3,119.52,474800
2008-06-16,118.62,121.010002,118.42,120.37,663500
2008-06-17,120.6,120.8,119.35,120.33,673500
2008-06-18,119.07,119.31,117.029999,117.76,763300
2008-06-19,118.059998,119.16,117.21,118.82,725200
2008-06-20,118.22,118.22,114.35,115.0,646300
2008-06-23,115.4,115.8,111.57,112.23,690900
2008-06-24,111.51,114.089996,110.39,111.9,1095300
2008-06-25,112.15,115.65,111.29,111.82,1344700
2008-06-26,112.65,116.91,110.99,114.67,1921100
2008-06-27,115.28,121.41,115.28,120.13,3454000
2008-06-30,121.7,124.51,120.37,121.010002,1664100
2008-07-01,118.69,122.16,118.010002,121.69,1142600
2008-07-02,122.24,122.34,118.45,118.45,1078200
2008-07-03,119.2,121.77,118.66,120.18,695600
2008-07-07,120.84,121.85,118.0,119.41,929800
2008-07-08,119.8,122.44,118.72,122.27,1143300
2008-07-09,122.0,123.040001,120.84,121.33,941900
2008-07-10,121.099998,123.73,119.59,120.15,905400
2008-07-11,118.53,120.15,116.11,117.68,1088400
2008-07-14,119.29,120.13,116.62,117.52,669900
2008-07-15,117.040001,117.2,112.78,115.14,1351900
2008-07-16,115.099998,120.44,115.099998,119.93,1020900
2008-07-17,120.4,125.59,119.010002,124.9,1302700
2008-07-18,126.58,126.58,123.61,126.010002,1116800
2008-07-21,125.5,126.97,123.63,124.52,779700
2008-07-22,123.93,129.59,123.6,128.22,1077100
2008-07-23,127.85,133.59,127.62,130.58,1441000
2008-07-24,130.75999,131.97,128.8,129.0,844700
2008-07-25,130.16,130.83,127.51,127.87,769400
2008-07-28,126.7,128.28,124.49,126.71,696500
2008-07-29,126.65,131.56,126.52,131.029999,719200
2008-07-30,130.91,133.16,128.72,131.25,767400
2008-07-31,129.91,133.66,129.42,130.28999,750000
2008-08-01,130.38,132.72,129.17999,131.33,677600
2008-08-04,131.0099945,131.67,129.42999,130.47,639100
2008-08-05,131.89999,136.34,131.89999,136.050003,1098100
2008-08-06,135.23,135.23,131.46001,134.0,1174400
2008-08-07,132.55,134.96001,132.10001,133.92999,1078100
2008-08-08,133.25999,138.97,133.25999,138.35001,968000
2008-08-11,138.0099945,142.49001,137.25,138.96001,1004700
2008-08-12,138.74001,139.17,136.0,136.61,685400
2008-08-13,136.059998,136.17,131.31,134.3,938600
2008-08-14,133.99001,137.49001,132.61,136.059998,857400
2008-08-15,135.25,138.92,135.25,138.59,618700
2008-08-18,139.5,140.0,136.64,137.21001,559800
2008-08-19,136.12,136.69,134.22,134.89,513600
2008-08-20,136.56,137.25,133.89,135.17,736200
2008-08-21,133.56,135.86,132.78,134.34,874900
2008-08-22,135.0,137.28999,134.66,136.72,567900
2008-08-25,136.2,136.56,133.23,133.45,491500
2008-08-26,132.83,136.46001,132.46001,136.34,595000
2008-08-27,135.28999,138.35001,135.28999,137.3,642000
2008-08-28,137.57001,140.50999,137.19,138.73,744900
2008-08-29,138.0,139.85001,136.82001,137.23,544500
2008-09-02,139.24001,143.8,137.50999,138.31,1217500
2008-09-03,138.89999,141.77,138.14999,141.13,1078800
2008-09-04,140.78999,142.36,138.31,138.38,900800
2008-09-05,137.5,138.91,135.25,138.19,681000
2008-09-08,139.13,140.7,136.2,139.98,1005800
2008-09-09,140.5,141.97,134.98,135.0099945,1154900
2008-09-10,135.020004,137.78,133.77,137.0,708100
2008-09-11,136.39999,138.44,134.24001,137.82001,978200
2008-09-12,136.3,138.97,135.91,138.5,840700
2008-09-15,136.74001,140.52,135.58,135.88,1067300
2008-09-16,134.75999,135.31,129.60001,133.63,1823700
2008-09-17,131.32001,132.86,128.089996,128.19,1226600
2008-09-18,129.75,130.60001,120.0,128.53,1950400
2008-09-19,134.38,136.39999,123.0,130.78999,1240500
2008-09-22,128.0,134.14,127.69,129.059998,1261200
2008-09-23,129.55,130.21001,126.93,127.17,678900
2008-09-24,127.089996,129.050003,125.52,125.98,647000
2008-09-25,127.4,130.38,126.64,128.77,916900
2008-09-26,128.75999,130.44,127.040001,129.35001,457800
2008-09-29,128.60001,129.42,121.94,124.55,899600
2008-09-30,125.85,125.85,121.46,123.34,1316500
2008-10-01,122.46,124.38,121.73,122.07,758000
2008-10-02,122.07,123.47,115.43,116.99,1150300
2008-10-03,118.099998,120.72,117.18,117.4,1101600
2008-10-06,115.66,120.089996,114.019997,119.099998,1354200
2008-10-07,118.85,119.96,107.5,108.21,2264400
2008-10-08,106.11,111.47,103.67,106.95,1502400
2008-10-09,107.2,108.7,98.79,98.79,1241100
2008-10-10,95.34,103.79,93.55,99.7,1495700
2008-10-13,102.55,107.8,102.22,107.25,269900
2008-10-14,110.9,111.050003,104.36,108.5,1311700
2008-10-15,108.11,109.31,101.07,101.11,1003000
2008-10-16,101.029999,106.0,98.85,105.56,1174000
2008-10-17,103.8,109.7,103.6,106.6,701400
2008-10-20,105.62,108.68,104.21,108.64,729500
2008-10-21,108.0,113.019997,105.7,108.94,797200
2008-10-22,107.25,109.81,103.040001,105.96,892500
2008-10-23,107.13,108.14,100.33,105.49,1273100
2008-10-24,101.050003,104.41,100.27,102.7,743800
2008-10-27,101.53,106.85,99.75,102.88,903100
2008-10-28,105.050003,115.14,103.98,114.2,1675700
2008-10-29,114.15,124.69,112.29,119.75,2024400
2008-10-30,120.4,126.96,120.28,122.099998,1029200
2008-10-31,121.0,129.32001,120.77,127.29,1251700
2008-11-03,125.75,126.14,119.88,120.73,1148400
2008-11-04,122.47,123.089996,119.17,122.85,717000
2008-11-05,117.8,120.25,117.0,118.010002,1585300
2008-11-06,117.0,121.79,115.53,117.24,1175700
2008-11-07,116.19,119.11,116.19,118.94,765000
2008-11-10,119.26,120.91,114.48,116.2,626200
